ts,session,ok,turns,duration_s,input_tokens,cache_create,cache_read,output_tokens,cost_usd_equiv,models
2026-08-06T05:41:57+09:00,us-close,ok,20,127.0,1054,26737,525692,6492,0.5763,claude-haiku-4-5-20251001|claude-sonnet-5
2026-08-06T07:10:06+09:00,report,ok,9,77.7,16,17866,276653,5391,0.2719,claude-haiku-4-5-20251001|claude-sonnet-5
2026-08-06T12:45:58+09:00,jp-open,ok,26,236.2,153,34462,864685,11871,0.8788,claude-haiku-4-5-20251001|claude-sonnet-5
2026-08-06T13:10:24+09:00,report,ok,6,50.8,10,16505,170815,3127,0.1979,claude-haiku-4-5-20251001|claude-sonnet-5
2026-08-06T14:51:33+09:00,jp-close,ok,21,238.7,1187,31982,371729,10303,0.9958,claude-haiku-4-5-20251001|claude-opus-5
2026-08-06T17:10:03+09:00,jp-close,ok,16,297.1,22,33390,395516,14490,1.0164,claude-haiku-4-5-20251001|claude-opus-5
2026-08-06T22:51:46+09:00,us-open,ok,27,356.6,1646,45341,609143,15183,1.4441,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T01:04:42+09:00,us-open,ok,19,227.6,1316,32638,305094,9301,0.9775,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T09:49:13+09:00,us-close,ok,29,297.1,462,42900,699526,13382,1.3796,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T10:04:03+09:00,report,ok,12,176.4,23,35371,403709,9360,0.7905,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T12:27:30+09:00,jp-open,error:error_max_turns,61,824.6,114,95212,4013245,30546,4.3244,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T14:51:38+09:00,jp-close,ok,24,353.0,23,46083,515539,16425,1.4053,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T15:59:18+09:00,jp-close,ok,33,442.3,1812,61645,1225607,20289,2.1329,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T22:51:42+09:00,us-open,ok,22,355.3,42,43541,938174,16386,1.4467,claude-haiku-4-5-20251001|claude-opus-5
2026-08-07T23:47:19+09:00,us-open,ok,22,313.6,154,44418,538185,14514,1.2858,claude-haiku-4-5-20251001|claude-opus-5
2026-08-08T04:51:02+09:00,us-close,ok,25,320.8,47,35108,874551,13757,1.2906,claude-haiku-4-5-20251001|claude-opus-5
2026-08-08T06:50:05+09:00,report,ok,11,234.0,21,51690,414700,12690,1.0424,claude-haiku-4-5-20251001|claude-opus-5
2026-08-10T09:56:47+09:00,jp-open,ok,45,662.4,1514,74480,1477986,33374,2.7402,claude-haiku-4-5-20251001|claude-opus-5
2026-08-10T14:50:21+09:00,jp-close,ok,15,276.8,29,33055,540172,11606,1.0048,claude-haiku-4-5-20251001|claude-opus-5
2026-08-10T22:54:18+09:00,us-open,ok,33,513.2,63,65985,1796872,19113,2.336,claude-haiku-4-5-20251001|claude-opus-5
2026-08-11T04:49:32+09:00,us-close,ok,21,212.7,1568,37416,514592,8921,1.0561,claude-haiku-4-5-20251001|claude-opus-5
2026-08-11T06:51:34+09:00,report,ok,17,336.8,23,56972,506344,19380,1.3084,claude-haiku-4-5-20251001|claude-opus-5
2026-08-11T09:52:51+09:00,jp-open,ok,31,428.0,2244,52302,747879,19689,1.7323,claude-haiku-4-5-20251001|claude-opus-5
2026-08-11T14:53:38+09:00,jp-close,ok,31,465.0,31,57905,841857,20725,1.8292,claude-haiku-4-5-20251001|claude-opus-5
2026-08-11T22:57:47+09:00,us-open,ok,58,711.0,1453,96297,2579559,32673,3.6845,claude-haiku-4-5-20251001|claude-opus-5
2026-08-12T04:52:22+09:00,us-close,ok,31,392.9,59,50421,1479595,16065,1.8626,claude-haiku-4-5-20251001|claude-opus-5
2026-08-12T06:56:11+09:00,report,ok,28,623.3,45,84748,1462343,36354,2.5323,claude-haiku-4-5-20251001|claude-opus-5
2026-08-12T09:53:59+09:00,jp-open,ok,37,498.2,71,60533,1817582,19953,2.3503,claude-haiku-4-5-20251001|claude-opus-5
2026-08-12T14:55:47+09:00,jp-close,ok,39,596.1,5413,83544,1420409,26598,2.6947,claude-haiku-4-5-20251001|claude-opus-5
2026-08-12T22:52:20+09:00,us-open,ok,30,394.9,1323,54888,831603,19134,1.6855,claude-haiku-4-5-20251001|claude-opus-5
2026-08-13T04:50:34+09:00,us-close,ok,25,289.7,493,46776,682734,12851,1.3491,claude-haiku-4-5-20251001|claude-opus-5
2026-08-13T06:54:59+09:00,report,ok,24,548.9,30,82068,928783,34971,2.1603,claude-haiku-4-5-20251001|claude-opus-5
2026-08-13T09:54:43+09:00,jp-open,ok,30,539.7,1077,68524,966433,27149,2.2864,claude-haiku-4-5-20251001|claude-opus-5
2026-08-13T14:51:12+09:00,jp-close,ok,30,322.6,1077,54291,896564,14607,1.6605,claude-haiku-4-5-20251001|claude-opus-5
2026-08-13T22:52:03+09:00,us-open,ok,25,374.5,1006,52100,697755,18518,1.6643,claude-haiku-4-5-20251001|claude-opus-5
2026-08-14T04:52:20+09:00,us-close,ok,42,393.3,2268,72314,1682411,19147,2.3861,claude-haiku-4-5-20251001|claude-opus-5
2026-08-14T06:54:50+09:00,report,ok,24,542.1,34,86606,1127741,34347,2.381,claude-haiku-4-5-20251001|claude-opus-5
2026-08-14T09:54:17+09:00,jp-open,ok,36,516.0,437,64972,1123579,24066,2.2606,claude-haiku-4-5-20251001|claude-opus-5
2026-08-14T14:51:11+09:00,jp-close,ok,22,330.8,3092,66890,735670,17015,1.6788,claude-haiku-4-5-20251001|claude-opus-5
2026-08-14T22:53:55+09:00,us-open,ok,34,489.2,2439,70912,1190386,24267,2.365,claude-haiku-4-5-20251001|claude-opus-5
2026-08-15T04:51:24+09:00,us-close,ok,30,341.1,1269,64803,1089667,16961,1.8685,claude-haiku-4-5-20251001|claude-opus-5
2026-08-15T06:54:11+09:00,report,ok,22,487.0,30,76664,897413,29027,2.0455,claude-haiku-4-5-20251001|claude-opus-5
2026-08-17T09:55:17+09:00,jp-open,ok,45,572.3,6510,77968,1802417,30471,2.9253,claude-haiku-4-5-20251001|claude-opus-5
2026-08-17T14:52:56+09:00,jp-close,ok,30,431.7,1028,51593,768974,20105,1.728,claude-haiku-4-5-20251001|claude-opus-5
2026-08-17T22:53:12+09:00,us-open,ok,32,448.4,1129,60601,917021,20645,2.0395,claude-haiku-4-5-20251001|claude-opus-5
2026-08-18T04:52:01+09:00,us-close,ok,32,379.7,3419,65074,1386292,17985,1.9941,claude-haiku-4-5-20251001|claude-opus-5
2026-08-18T06:54:08+09:00,report,ok,30,500.0,42,82106,1244020,29763,2.256,claude-haiku-4-5-20251001|claude-opus-5
2026-08-18T09:55:47+09:00,jp-open,ok,46,602.2,92,74657,3019146,27436,3.3842,claude-haiku-4-5-20251001|claude-opus-5
2026-08-18T14:51:01+09:00,jp-close,ok,25,316.2,28,53811,718161,14280,1.5346,claude-haiku-4-5-20251001|claude-opus-5
2026-08-18T22:56:04+09:00,us-open,ok,33,606.3,34,68654,871395,26347,2.401,claude-haiku-4-5-20251001|claude-opus-5
2026-08-19T04:53:11+09:00,us-close,ok,39,440.5,54,61696,1254830,24989,2.1215,claude-haiku-4-5-20251001|claude-opus-5
2026-08-19T06:55:07+09:00,report,ok,36,559.3,48,94850,1633567,35880,2.7575,claude-haiku-4-5-20251001|claude-opus-5
2026-08-19T09:54:10+09:00,jp-open,ok,38,503.0,38,61905,1028515,23026,2.0878,claude-haiku-4-5-20251001|claude-opus-5
2026-08-19T14:54:20+09:00,jp-close,ok,32,513.8,38,68450,1025140,23585,2.4274,claude-haiku-4-5-20251001|claude-opus-5
2026-08-19T22:55:14+09:00,us-open,ok,54,570.8,60,78843,1870650,28655,3.0076,claude-haiku-4-5-20251001|claude-opus-5
2026-08-20T04:53:43+09:00,us-close,ok,38,472.6,48,58688,1207526,22273,2.06,claude-haiku-4-5-20251001|claude-opus-5
2026-08-20T06:51:40+09:00,report,ok,23,349.9,36,74821,865630,21794,1.7273,claude-haiku-4-5-20251001|claude-opus-5
2026-08-20T09:52:45+09:00,jp-open,ok,26,420.8,34,48648,754290,19789,1.6411,claude-haiku-4-5-20251001|claude-opus-5
2026-08-20T14:56:07+09:00,jp-close,ok,46,624.6,92,64758,2622740,26699,3.1389,claude-haiku-4-5-20251001|claude-opus-5
2026-08-20T22:53:55+09:00,us-open,ok,35,480.8,48,72690,1183449,24511,2.3925,claude-haiku-4-5-20251001|claude-opus-5
2026-08-21T04:52:19+09:00,us-close,ok,27,396.6,30,54587,696371,18208,1.7494,claude-haiku-4-5-20251001|claude-opus-5
2026-08-21T06:54:37+09:00,report,ok,18,525.4,26,89032,718152,32719,2.0687,claude-haiku-4-5-20251001|claude-opus-5
2026-08-21T09:57:04+09:00,jp-open,ok,57,676.5,72,86412,2177406,34207,3.2052,claude-haiku-4-5-20251001|claude-opus-5
2026-08-21T14:53:25+09:00,jp-close,ok,29,462.3,36,56069,897658,21241,1.8113,claude-haiku-4-5-20251001|claude-opus-5
2026-08-21T22:52:15+09:00,us-open,ok,30,391.4,34,55533,817667,16644,1.7814,claude-haiku-4-5-20251001|claude-opus-5
2026-08-22T04:51:57+09:00,us-close,ok,29,373.1,34,50972,825616,18281,1.6725,claude-haiku-4-5-20251001|claude-opus-5
2026-08-22T06:56:17+09:00,report,ok,33,624.2,58,98217,1780208,41334,2.948,claude-haiku-4-5-20251001|claude-opus-5
2026-08-24T09:54:52+09:00,jp-open,ok,53,550.2,70,66548,1668626,28204,2.5666,claude-haiku-4-5-20251001|claude-opus-5
2026-08-24T14:48:50+09:00,jp-close,error:success,1,189.5,0,0,0,0,0.0011,claude-haiku-4-5-20251001
